ticker,company,sector,industry,hq,date_first_added,cik,founded
FDX,FedEx,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,"0001048911
","1971
",
FITB,Fifth Third Bank,Regional Banks,"Cincinnati, Ohio",1996-03-29,0000035527,"1858
",
FSLR,First Solar,Semiconductors,"Tempe, Arizona",2022-12-19,0001274494,"1999
",
FE,FirstEnergy,Electric Utilities,"Akron, Ohio",1997-11-28,0001031296,"1997
",
FIS,FIS,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,0001136893,"1968
",
FI,Fiserv,Transaction & Payment Processing Services,"Brookfield, Wisconsin",2001-04-02,0000798354,"1984
",
FLT,Fleetcor,Transaction & Payment Processing Services,"Atlanta, Georgia",2018-06-20,0001175454,"2000
",
FMC,FMC Corporation,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009-08-19,0000037785,"1883
",
F,Ford Motor Company,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,0000037996,"1903
",
FTNT,Fortinet,Systems Software,"Sunnyvale, California",2018-10-11,0001262039,"2000
",
FTV,Fortive,Industrial Machinery & Supplies & Components,"Everett, Washington",2016-07-01,0001659166,"2016
",
FOXA,Fox Corporation (Class A),Movies & Entertainment,"New York City, New York",2013-07-01,"0001754301
","2019
",
FOX,Fox Corporation (Class B),Movies & Entertainment,"New York City, New York",2015-09-18,"0001754301
","2019
",
BEN,Franklin Templeton,Asset Management & Custody Banks,"San Mateo, California",1998-04-30,0000038777,"1947
",
FCX,Freeport-McMoRan,Copper,"Phoenix, Arizona",,0000831259,"1912
",
GRMN,Garmin,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,0001121788,"1989
",
IT,Gartner,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,0000749251,"1979
",
GEHC,GE HealthCare,Health Care Technology,"Chicago, Illinois",2023-01-04,0001932393,"1994
",
GEN,Gen Digital,Application Software,"Tempe, Arizona",2003-03-25,0000849399,"1982
",
GNRC,Generac,Electrical Components & Equipment,"Waukesha, Wisconsin",2021-03-22,0001474735,"1959
",
GD,General Dynamics,Aerospace & Defense,"Falls Church, Virginia",1957-03-04,0000040533,"1899
",
GE,General Electric,Industrial Conglomerates,"Boston, Massachusetts",1957-03-04,0000040545,"1892
",
GIS,General Mills,Packaged Foods & Meats,"Golden Valley, Minnesota",1957-03-04,0000040704,"1856
",
GM,General Motors,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,"0001467858
","1908
",
GPC,Genuine Parts Company,Specialty Stores,"Atlanta, Georgia",1973-12-31,0000040987,"1925
",
GILD,Gilead Sciences,Biotechnology,"Foster City, California",2004-07-01,0000882095,"1987
",
GL,Globe Life,Life & Health Insurance,"McKinney, Texas",1989-04-30,0000320335,"1900
",
GPN,Global Payments,Transaction & Payment Processing Services,"Atlanta, Georgia",2016-04-25,0001123360,"2000
",
GS,Goldman Sachs,Investment Banking & Brokerage,"New York City, New York",2002-07-22,0000886982,"1869
",
HAL,Halliburton,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,0000045012,"1919
",
HIG,Hartford (The),Property & Casualty Insurance,"Hartford, Connecticut",1957-03-04,"0000874766
","1810
",
HAS,Hasbro,Leisure Products,"Pawtucket, Rhode Island",1984-09-30,0000046080,"1923
",
HCA,HCA Healthcare,Health Care Facilities,"Nashville, Tennessee",2015-01-27,0000860730,"1968
",
PEAK,Healthpeak,Health Care REITs,"Long Beach, California",2008-03-31,0000765880,"1985
",
HSIC,Henry Schein,Health Care Distributors,"Melville, New York",2015-03-17,0001000228,"1932
",
HSY,Hershey's,Packaged Foods & Meats,"Hershey, Pennsylvania",1957-03-04,0000047111,"1894
",
HES,Hess Corporation,Integrated Oil & Gas,"New York City, New York",1984-05-31,0000004447,"1919
",
HPE,Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015-11-02,0001645590,"2015
",
HLT,Hilton Worldwide,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017-06-19,0001585689,"1919
",
HOLX,Hologic,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,0000859737,"1985
",
HD,Home Depot (The),Home Improvement Retail,"Atlanta, Georgia",1988-03-31,0000354950,"1978
",
HON,Honeywell,Industrial Conglomerates,"Charlotte, North Carolina",1957-03-04,0000773840,"1906
",
HRL,Hormel Foods,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,0000048465,"1891
",
HST,Host Hotels & Resorts,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,0001070750,"1993
",
HWM,Howmet Aerospace,Aerospace & Defense,"Pittsburgh, Pennsylvania",1957-03-04,0000004281,"2016
",
HPQ,HP Inc.,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,0000047217,"1939 (2015)
",
HUM,Humana,Managed Health Care,"Louisville, Kentucky",,0000049071,"1961
",
HBAN,Huntington Bancshares,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,0000049196,"1866
",
HII,Huntington Ingalls Industries,Aerospace & Defense,"Newport News, Virginia",2018-01-03,"0001501585
","2011
",
IBM,IBM,IT Consulting & Other Services,"Armonk, New York",1957-03-04,0000051143,"1911
",
IEX,IDEX Corporation,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,0000832101,"1988
",
IDXX,Idexx Laboratories,Health Care Equipment,"Westbrook, Maine",2017-01-05,0000874716,"1983
",
ITW,Illinois Tool Works,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1986-02-28,0000049826,"1912
",
ILMN,Illumina,Life Sciences Tools & Services,"San Diego, California",2015-11-19,0001110803,"1998
",
INCY,Incyte,Biotechnology,"Wilmington, Delaware",2017-02-28,0000879169,"1991
",
IR,Ingersoll Rand,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",2020-03-03,0001699150,"1859
",
PODD,Insulet,Health Care Equipment,"Acton, Massachusetts",2023-03-15,0001145197,"2000
",
INTC,Intel,Semiconductors,"Santa Clara, California",1976-12-31,"0000050863
","1968
",
ICE,Intercontinental Exchange,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,0001571949,"2000
",
IFF,International Flavors & Fragrances,Specialty Chemicals,"New York City, New York",1976-03-31,"0000051253
","1958 (1889)
",
IP,International Paper,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,0000051434,"1898
",
IPG,Interpublic Group of Companies (The),Advertising,"New York City, New York",1992-10-01,0000051644,"1961 (1930)
",
INTU,Intuit,Application Software,"Mountain View, California",2000-12-05,0000896878,"1983
",
ISRG,Intuitive Surgical,Health Care Equipment,"Sunnyvale, California",2008-06-02,0001035267,"1995
",
IVZ,Invesco,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,0000914208,"1935
",
INVH,Invitation Homes,Residential REITs,"Dallas, Texas",2022-09-19,0001687229,"2012
",
IQV,IQVIA,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,"0001478242
","1982
",
IRM,Iron Mountain,Other Specialized REITs,"Boston, Massachusetts",2009-01-06,0001020569,"1951
",
JBHT,J.B. Hunt,Cargo Ground Transportation,"Lowell, Arkansas",2015-07-01,0000728535,"1961
",
JKHY,Jack Henry & Associates,Transaction & Payment Processing Services,"Monett, Missouri",2018-11-13,0000779152,"1976
",
